605.321	607.038	Wisisg
608.528	610.207	Gitpug
612.32	614.094	Mimigesg
614.188	615.886	Wowgwisg
616.377	618.245	Tiamug
618.604	620.34	Tepljig
620.887	622.415	Wapusg
622.83	624.811	Apligmujg
625.83	628.0	Goqoligwejg
628.132	629.924	Apigjijg
630.302	632.66	Gugugwesg
632.849	634.415	Sqoljig
634.698	636.528	Muinaq
636.679	638.453	Muinejg
639.452	641.697	Migjigjig
653.32	655.414	Aptapegiejijig
655.943	658.263	Amaljugwejg
658.528	660.243	Gopitaq
660.457	662.698	Apligmujg
715.075	716.962	Paqtesmug
717.264	719.301	Apigjilug
